token_id,num_sales,nft_name,nft_description,nft_image,collection_name,collection_description,collection_image,fees_seller,fees_opensea,fees_seller_usd,fees_opensea_usd,payout_collection_address,tx_timestamp,price,gain,usd_price,usd_gain,token,to_eth,to_usd,from_account,to_account,seller_account,winner_account,contract_address,created_date,chain,token_type,asset_contract_type,asset_type
9505411,27,11819168,22381642,23032872,16053997,22381642,7868502,0.00015,0.00075,0.0001285236,0.000642618,3447961,2023-04-29T22:59:54,0.03,0.0290999999999999,0.02570472,0.0249335784,MATIC,0.00047446,0.856824,5210808,2126811,3447961,5210808,1991117,2021-08-11T02:56:18.366467,matic,ERC1155,semi-fungible,simple
4934239,2,29623742,30615787,24760493,7106257,2012895,121171,0.0235,0.01175,0.348975,0.1744875,3249912,2023-04-29T22:59:48,0.47,0.4347499999999999,6.9795,6.456037499999999,WAVAX,0.00822384,14.85,458496,5823345,458496,4332284,1522461,2022-08-16T16:54:20.573253,avalanche,ERC721,non-fungible,simple
4942906,1,9436321,22381642,16887538,27289515,10344956,22121514,0.00175,0.000875,3.1604300000000007,1.5802150000000004,5875573,2023-04-29T22:59:47,0.035,0.032375,63.2086,58.467955,ETH,1.0,1805.96,6349957,2126811,428474,6349957,5950043,2023-02-27T07:53:23.425737,ethereum,ERC721,non-fungible,simple
3919953,1,6305759,22381642,9224405,27289515,10344956,22121514,0.00175,0.000875,3.1604300000000007,1.5802150000000004,5875573,2023-04-29T22:59:47,0.035,0.032375,63.2086,58.467955,ETH,1.0,1805.96,6349957,2126811,428474,6349957,5950043,2023-02-27T07:53:23.425737,ethereum,ERC721,non-fungible,simple
4406435,1,3055544,22381642,14164189,27289515,10344956,22121514,0.00175,0.000875,3.1604300000000007,1.5802150000000004,5875573,2023-04-29T22:59:47,0.035,0.032375,63.2086,58.467955,ETH,1.0,1805.96,6349957,2126811,2896100,6349957,5950043,2023-02-27T07:53:23.425737,ethereum,ERC721,non-fungible,simple
7164587,1,20114788,14459008,14520197,24203386,10053089,27038740,0.003,0.00075,5.41788,1.35447,3125353,2023-04-29T22:59:47,0.03,0.02625,54.1788,47.40645,ETH,1.0,1805.96,5467260,2126811,2453252,5467260,4981607,2023-04-23T04:44:10.419567,ethereum,ERC721,non-fungible,simple
798945,2,8576412,2250009,21335741,4764114,29032952,13925471,0.1235,0.0325,0.105817764,0.02784678,4237023,2023-04-29T22:59:42,1.3,1.144,1.1138712000000002,0.980206656,MATIC,0.00047446,0.856824,4262408,2126811,5147011,4262408,2236099,2023-03-12T20:48:59.347333,matic,ERC721,non-fungible,simple
10047847,5,1816562,19164436,26201125,25164104,8158955,13290475,0.029944,0.014972,54.07766624,27.03883312,604244,2023-04-29T22:59:35,0.59888,0.553964,1081.5533248,1000.43682544,ETH,1.0,1805.96,235775,2126811,3854798,235775,4546885,2022-09-01T23:54:15.458547,ethereum,ERC721,non-fungible,simple
4429043,7,25405188,28177853,20937276,27663687,22381642,19023397,0.0006,0.0003,1.083576,0.541788,4344640,2023-04-29T22:59:35,0.012,0.0111,21.67152,20.046156,ETH,1.0,1805.96,5937112,2126811,6158191,5937112,5993454,2023-04-19T22:29:37.096559,ethereum,ERC1155,semi-fungible,simple
3653962,1,17674293,30956736,851214,25793034,22381642,8674733,0.612,2.125,0.524376288,1.820751,743935,2023-04-29T22:59:34,85.0,82.263,72.83004,70.48491271200001,MATIC,0.00047446,0.856824,4083955,2126811,1811444,4083955,4321909,2023-04-20T04:23:10.885967,matic,ERC721,non-fungible,simple
1919796,4,23812510,31017940,20281937,5575542,3098228,21293954,7e-05,3.5e-05,0.1264172,0.0632086,4258394,2023-04-29T22:59:31,0.0014,0.001295,2.528344,2.3387182,ETH,1.0,1805.96,414193,5246013,5653666,414193,2499240,2023-01-14T21:48:10.047696,arbitrum_nova,ERC721,non-fungible,simple
8732239,3,12581794,17690906,23635616,31489904,29244374,427760,0.049728,0.014,0.042608143872,0.011995536,1067922,2023-04-29T22:59:30,0.56,0.496272,0.47982144,0.425217760128,MATIC,0.00047446,0.856824,1067922,2126811,3793786,1067922,1878201,2023-04-26T04:53:56.040743,matic,ERC721,non-fungible,simple
764576,3,22977900,17690906,20224031,31489904,29244374,427760,0.049728,0.014,0.042608143872,0.011995536,1067922,2023-04-29T22:59:30,0.56,0.496272,0.47982144,0.425217760128,MATIC,0.00047446,0.856824,1067922,2126811,146611,1067922,1878201,2023-04-26T04:53:56.040743,matic,ERC721,non-fungible,simple
9226675,3,19834654,17690906,19470269,31489904,29244374,427760,0.049728,0.014,0.042608143872,0.011995536,1067922,2023-04-29T22:59:30,0.56,0.496272,0.47982144,0.425217760128,MATIC,0.00047446,0.856824,1067922,2126811,146611,1067922,1878201,2023-04-26T04:53:56.040743,matic,ERC721,non-fungible,simple
